Nombre del Municipio,seguridad_Total,seguridad_Total - Hombres,seguridad_Total - Mujeres,Delitos_Total de Delitos,Delitos_Homicidios,Delitos_Secuestro,Delitos_Lesiones,Delitos_Extorsión,Delitos_Feminicidios,Delitos_Narcomenudeo,Delitos_Robo a Casa habitación,Delitos_Robo de Vehículos,Delitos_Robo a Negocio,Delitos_Violación,Delitos_Violencia Familiar,Delitos_Otrosdelitos,procedimientos adm_total,procedimientos adm_Policíamunicipal,procedimientos adm_Policíaestatal,procedimientos adm_GuardiaNacional,centros penitenciarios _Centros Penitenciarios,centros penitenciarios _Centros de Reinserción,centros penitenciarios _Centro Femenil de Reiserción Social,centros penitenciarios _Población PenitenciariaHombres,centros penitenciarios _Población PenitenciariaMujeres,Salud_Usuarios de los Servicios de Salud,Salud_Unidades médicas en servicio de las instituciones del sector público de salud del municipio,Salud_Personal médico de las instituciones del sector público de salud del municipio,Salud_Población con discapacidad: limitación o con algún problema o condición mental,Vivienda_Viviendas Particulares Habitadas,Vivienda_Promedio de Ocupantes por Vivienda,Vivienda_Deficit de Agua Potable,Vivienda_Deficit de Drenaje,Vivienda_Deficit de Energía Eléctrica,Vivienda_Plantas de Tratamiento de Aguas Residuales,Vivienda_Viviendas con Hacinamiento,Comunicaciones_Longitud de la Red Carretera (km),Comunicaciones_Carreteras Federales (km),Comunicaciones_Alimentadoras Estatales (km),Comunicaciones_Caminos Rurales (km),Comunicaciones_Brechas Mejoradas (km),Comunicaciones_Viviendas con computadora (%),Comunicaciones_Viviendas con Internet (%),Comunicaciones_Viviendas con Servicios de TV de Paga (%),Comunicaciones_Viviendas con Celular (%),Comunicaciones_Viviendas con Telefonía Fija (%),Comunicaciones_Viviendas con TV Plana (%),Demografia_Superficie(km2),Demografia_Densidad de Población (hab/km2),Demografia_Población Urbana,Demografia_Población Rural,Demografia_Población total,Demografia_Población total%,Demografia_Población Mujeres,Demografia_Población Mujeres%,Demografia_Población Hombres,Demografia_Población Hombres%,Demografia_Población infantil (0-14 años),Demografia_Población infantil (0-14 años)%,Demografia_Población juvenil (15-29 años),Demografia_Población juvenil (15-29 años)%,Demografia_Población  (18 años y más),Demografia_Población  (18 años y más)%,Demografia_Población adulta (30-59 años),Demografia_Población adulta (30-59 años)%,Demografia_Población adulta mayor (60 y más años),Demografia_Población adulta mayor (60 y más años)%,Indigenas_Población de 3 años y más Hablante de Lengua Índigena,Indigenas_Población de 3 años y más Hablante de Lengua Índigena%,Pobreza-Carencias Soc._Pobreza%,Pobreza-Carencias Soc._Pobreza,Pobreza-Carencias Soc._Pobreza extrema%,Pobreza-Carencias Soc._Pobreza extrema,Pobreza-Carencias Soc._Vulnerables por Ingreso%,Pobreza-Carencias Soc._Vulnerables por Ingreso,Pobreza-Carencias Soc._Rezago Educativo%,Pobreza-Carencias Soc._Rezago Educativo,Pobreza-Carencias Soc._Carencia por Acceso a los Servicios de Salud%,Pobreza-Carencias Soc._Carencia por Acceso a los Servicios de Salud,Pobreza-Carencias Soc._Carencia por Acceso a la Seguridad Social%,Pobreza-Carencias Soc._Carencia por Acceso a la Seguridad Social,Pobreza-Carencias Soc._Carencia por Calidad y Espacios de la Vivienda%,Pobreza-Carencias Soc._Carencia por Calidad y Espacios de la Vivienda,Pobreza-Carencias Soc._Carencia pro Acceso a los Sercicios Básicos en la Vivienda%,Pobreza-Carencias Soc._Carencia pro Acceso a los Sercicios Básicos en la Vivienda,Pobreza-Carencias Soc._Carencia por Acceso a la Alimentación%,Pobreza-Carencias Soc._Carencia por Acceso a la Alimentación,Economía_Población Económicamente Activa PEA,Economía_Población Ocupada,Economía_Población Ocupada%,Economía_Porcentaje de la Población Ocupada Mujeres,Economía_Porcentaje de la Población Ocupada Hombres,Economía_Población Desocupada,Economía_Población Desocupada%,Economía_Unidades Económicas,Economía_Personal Ocupado,Economía_Producción Bruta Total (millones de pesos),Economía_No. De Trabajadores,Economía_Sector Primario%,Economía_Sector Secundario%,Economía_Comercio%,Economía_Servicios%,Economía_Ingresos por Remesas(2022) (millones de dólares),Economía_Ingresos por Remesas(2022) (porcentaje estatal),Economía_Grado de Intensidad Migratoria,Agropecuario_Superficie Sembrada (has),Agropecuario_Superficie Cosechada (has),Agropecuario_Volumen de la Producción (tons),Agropecuario_Valor de la Producción (miles de pesos),Agropecuario_Bovino(tons),Agropecuario_Bovino(valor),Agropecuario_Porcino(tons),Agropecuario_Porcino(valor),Agropecuario_Ovino(tons),Agropecuario_Ovino(valor),Agropecuario_Caprino(tons),Agropecuario_Caprino(valor),Agropecuario_Ave(tons),Agropecuario_Ave(valor),Agropecuario_Guajolotes(tons),Agropecuario_Guajolotes(valor),Agropecuario_Leche de Bovino(tons),Agropecuario_Leche de Bovino(valor),Agropecuario_Huevo para Plato(tons),Agropecuario_Huevo para Plato(valor),Educación_Total Municipio_Escuelas,Educación_Total Municipio_Alumnos,Educación_Total Municipio_Docentes,Educación_Preescolar_Escuelas,Educación_Preescolar_Alumnos,Educación_Preescolar_Docentes,Educación_Primaria_Escuelas,Educación_Primaria_Alumnos,Educación_Primaria_Docentes,Educación_Secundaria_Escuelas,Educación_Secundaria_Alumnos,Educación_Secundaria_Docentes,Educación_Media Superior_Escuelas,Educación_Media Superior_Alumnos,Educación_Media Superior_Docentes,Educación_Superior_Escuelas,Educación_Superior_Alumnos,Educación_Superior_Docentes,Educación_Grado Promedio de Escolaridad,Educación_Equivalencia,Educación_Porcentaje de la población analfabeta,Educación_Desayunos Integrados,Educación_Uniformes,Educación_Becas,Comercio_Gasolinerias Establecidas,Comercio_Tianguis,Comercio_Mercados Públicos,Comercio_Centrales de Abasto,Comercio_Tiendas DICONSA,Comercio_LICONSA_Puntos de Atención,Comercio_LICONSA_Familias Beneficiadas,Comercio_LICONSA_Beneficiarios,Comercio_LICONSA_Dotación Anual de Leche (litros),Turismo_Hoteles,Turismo_Moteles,Turismo_Cabañas Villas y Similares,Turismo_Campamentos y albergues recreativos,Turismo_Pensiones y casas de huéspedes,Turismo_Departamentos y casas amuebladas con servicio de hotelería,Turismo_Restaurantes,Turismo_Servicios de preparación de otros alimentos para consumo inmediato,Turismo_Cafeterías fuentes de sodas neverías refresquerías y similares,Turismo_Centros nocturnos discotecas y similares,Turismo_Bares cantinas y similares,Cultura_Bibliotecas públicas,Cultura_espacios culturales *,plantas_Plantas de Tratamiento de Aguas Residuales,red carret_Longitud de la Red Carretera (km),red carret_Carreteras Federales (km),red carret_Alimentadoras Estatales (km),red carret_Caminos Rurales (km),red carret_Brechas Mejoradas (km),medio ambiente_Cantidadpromedio diariade residuossólidos urbanosrecolectados,medio ambiente_Casapor casa,medio ambiente_En un puntode recolecciónestablecido,medio ambiente_Sistema de contenedores,Movilidad_Automoviles,Movilidad_Camiones de Pasajeros,Movilidad_Accidentes,áreas protegidas_Nombre,Aguacate(toneladas),Aguacate(valor en miles de pesos),Ajo(toneladas),Ajo(valor en miles de pesos),Alfalfa(toneladas),Alfalfa(valor en miles de pesos),Avena forrajera en verde(toneladas),Avena forrajera en verde(valor en miles de pesos),Avena grano(toneladas),Avena grano(valor en miles de pesos),Brócoli(toneladas),Brócoli(valor en miles de pesos),Café cereza(toneladas),Café cereza(valor en miles de pesos),Calabacita(toneladas),Calabacita(valor en miles de pesos),Cebada grano(toneladas),Cebada grano(valor en miles de pesos),Cebolla(toneladas),Cebolla(valor en miles de pesos),Chile verde(toneladas),Chile verde(valor en miles de pesos),Coliflor(toneladas),Coliflor(valor en miles de pesos),Durazno(toneladas),Durazno(valor en miles de pesos),Elote(toneladas),Elote(valor en miles de pesos),Espárrago(toneladas),Espárrago(valor en miles de pesos),Frijol(toneladas),Frijol(valor en miles de pesos),Garbanzo grano(toneladas),Garbanzo grano(valor en miles de pesos),Granada(toneladas),Granada(valor en miles de pesos),Guayaba(toneladas),Guayaba(valor en miles de pesos),Lechuga(toneladas),Lechuga(valor en miles de pesos),Limón(toneladas),Limón(valor en miles de pesos),Maguey pulquero(toneladas),Maguey pulquero(valor en miles de pesos),Maíz forrajero en verde(toneladas),Maíz forrajero en verde(valor en miles de pesos),Maíz grano(toneladas),Maíz grano(valor en miles de pesos),Mandarina(toneladas),Mandarina(valor en miles de pesos),Mango(toneladas),Mango(valor en miles de pesos),Manzana(toneladas),Manzana(valor en miles de pesos),Naranja(toneladas),Naranja(valor en miles de pesos),Nopalitos(toneladas),Nopalitos(valor en miles de pesos),Nuez(toneladas),Nuez(valor en miles de pesos),Papa(toneladas),Papa(valor en miles de pesos),Pepino(toneladas),Pepino(valor en miles de pesos),Pera(toneladas),Pera(valor en miles de pesos),Piña(toneladas),Piña(valor en miles de pesos),Plátano(toneladas),Plátano(valor en miles de pesos),Rosa(toneladas),Rosa(valor en miles de pesos),Sorgo grano(toneladas),Sorgo grano(valor en miles de pesos),Tomate rojo (jitomate)(toneladas),Tomate rojo (jitomate)(valor en miles de pesos),Tomate verde(toneladas),Tomate verde(valor en miles de pesos),Trigo grano(toneladas),Trigo grano(valor en miles de pesos),Tuna(toneladas),Tuna(valor en miles de pesos),Zarzamora(toneladas),Zarzamora(valor en miles de pesos),Zempoalxochitl(toneladas),Zempoalxochitl(valor en miles de pesos)
Acatlán,33,28,5,95,0,0,20,0,0,1,0,9,0,1,12,52,24,24,0,0,0,0,0,0,0,12925,10,21,3658,5854,3.79,3.38,7.81,1.02,0,23.85,186,0,11,140,35,17.85,31.91,26.55,84.22,17.59,90.59,241.63,92.16,0,100,22268,0.01,11563,0.52,10705,0.48,6502,29.2,5436,24.41,14467,64.97,7705,34.6,2625,11.79,72,0,39.29,9696,4.9,1208,0.54,132,27.83,6868,37.46,9245,87.74,21655,6.01,1483,25.1,6195,32.79,8093,11462,11368,99.18,41.46,58.54,94,0.82,278,633,125.21,8805,34.86,26.03,18.3,20.14,14.19,0.85,Muy alto,7186.49,6993.49,74952.36,69021.53,1436.75,47041.46,5777.48,181707.52,159.53,8002.36,7.21,265.36,6484.17,199503.11,8.26,320.37,23914.67,143551.89,63.72,2045.95,89,5116,277,35,751,51,35,27.2,124,14,1193,59,3,275,20,0,0,0,7.35,1er año de Secundaria,11.13,1477457,4968,541.43,2,2,1,0,12,2,99,182,15912,1,1,0,0,0,0,1,0,0,0,0,1,1,0,186,0,11,140,35,10000,8000,2000,0,24,14,0,Barranca de Metztitlán,NA,NA,NA,NA,9962.55,3366.64,10403.78,4047.29,NA,NA,NA,NA,NA,NA,NA,NA,389.67,1617.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.91,94.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43963.86,19308.44,9167.64,32558.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054.95,8029.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acaxochitlán,74,63,11,261,3,1,36,0,0,3,2,9,3,5,84,115,15,15,0,0,0,0,0,0,0,48508,18,43,5990,10431,4.41,14.6,4.84,1.59,0,40.13,185,27,14,58,86,7.08,7.82,37.2,76.45,6.22,80.95,238.9,192.82,42.89,57.13,46065,0.01,24348,0.53,21717,0.47,15410,33.45,11925,25.89,27787,60.32,14536,31.56,4188,9.09,14328,0.33,80.09,38626,28.51,13748,0.95,459,33.16,15995,20.68,9976,88.82,42840,28.75,13868,50.18,24201,45.86,22117,22006,21751,98.84,41.54,58.46,255,1.16,1049,2256,342.42,15369,28.13,18.45,32.32,20.61,2.39,0.14,Bajo,7337.88,6034.88,16167.1,72850.53,343.95,11184.72,243.57,7194.63,130.58,6527.92,5.69,210.22,73.95,2028.83,14.58,566.34,5545.94,33373.07,40.26,1289.54,155,12389,661,57,1629,101,59,6822,343,28,2710,133,9,974,48,0,0,0,6.66,6to grado de Primaria,16.29,3534932,12443,6306.54,4,6,1,0,2,1,126,271,30558,12,1,7,1,0,2,32,0,0,1,2,12,1,0,185,27,14,58,86,18000,0,18000,0,76,8,1,Zona Protectora Forestal Vedada la Cuenca Hidrográfica del Río Necaxa,251.1,4163.24,NA,NA,NA,NA,1356.09,549.73,NA,NA,NA,NA,NA,NA,NA,NA,164.85,667.64,NA,NA,NA,NA,NA,NA,72.6,235.95,NA,NA,NA,NA,12.68,120.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.15,1984.66,NA,NA,9102.69,32574.02,NA,NA,NA,NA,319.19,1222.3,NA,NA,152.23,521.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4083.52,30811.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actopan,70,53,17,865,4,1,105,0,0,3,16,99,17,26,162,432,10100,7070,1515,505,1,1,0,85,5,54583,16,148,11444,16237,3.74,2.54,2.51,1.03,1,17.51,137,2,59,52,24,30.9,39.03,50.55,85.8,28.99,89.56,271.8,224.44,73.24,26.76,61002,0.02,31925,0.52,29077,0.48,15550,25.49,14966,24.53,42294,69.33,22645,37.12,7839,12.85,1735,0.03,48.02,28462,3.66,2169,5.22,3097,11.48,6803,35.36,20962,72.49,42969,5.03,2983,7.48,4436,21.21,12570,32853,32385,98.58,46.09,53.91,468,1.42,4209,12135,5083.13,27563,9.39,23.41,23.55,42.72,88.38,5.28,Medio,4413.3,4286.3,190599.17,154078.7,1443.52,49394.6,164.23,4199.65,282.95,11232.63,41.51,1080.88,1198.72,33855.62,39.54,1356.07,20096.79,125200,68.99,2210.04,145,23229,1132,46,1999,118,49,7327,362,27,4077,249,12,4044,194,3,1710,120,9.93,3er año de Secundaria,3.84,1151097,12243,7190.2,5,2,2,1,7,6,1305,3097,373628,8,3,0,0,1,1,18,0,3,2,9,8,3,1,137,2,59,52,24,50000,40000,7500,2500,177,53,0,0,NA,NA,NA,NA,167935.6,54968.68,2990.9,486.26,NA,NA,NA,NA,NA,NA,692,2947.92,NA,NA,NA,NA,919.9,15491.97,177.1,619.85,28.01,334.62,NA,NA,NA,NA,208.85,2002.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711,4938.28,1782.5,807.47,9706,42724.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1778.96,16455.38,NA,NA,21.45,66.92,3609.8,12136.51,NA,NA,37.1,98.32
Agua Blanca de Iturbide,22,16,6,34,1,0,4,0,0,0,1,1,0,1,0,26,44,44,0,0,0,0,0,0,0,15710,7,16,2531,2850,3.61,2.53,5.09,3.82,0,26.25,81,0,23,55,3,12.25,12.81,22.95,81.12,5.33,82.42,120,85.94,0,100,10313,0,5400,0.52,4913,0.48,2927,28.38,2526,24.49,6768,65.63,3570,34.62,1290,12.51,59,0.01,60,6384,8.3,883,0.91,97,24.54,2612,25.13,2674,87.58,9318,8.87,944,20.73,2205,31.48,3350,4636,4501,97.09,36.46,63.54,135,2.91,290,694,446.76,3699,31.63,23.63,13.38,30.68,3.51,0.21,Bajo,2699.61,2299.61,3736.77,18598.61,514.53,19921.68,190.45,5727.97,93.53,4696.17,0,0,54.67,1488.66,14.47,560.57,2006.21,12039.37,28.9,925.1,54,3494,201,17,300,25,23,1329,74,9,583,38,4,317,23,0,0,0,7.63,1er año de Secundaria,11.74,751517,2664,1276.1,1,1,1,0,10,3,248,402,39432,2,0,0,0,0,0,7,0,0,0,1,2,0,0,81,0,23,55,3,2506,1754.2,375.9,375.9,26,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.24,454.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2346.59,8565.05,NA,NA,NA,NA,207.29,777.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119.41,8731.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajacuba,19,17,2,66,2,0,1,0,0,1,0,2,2,2,12,44,72,72,0,0,0,0,0,0,0,9178,4,14,3305,5163,3.65,1.98,2.77,0.91,0,16.68,6,0,2,4,0,19.68,45.63,47.94,85.74,11.7,90.76,239,78.96,67.89,32.11,18872,0.01,9764,0.52,9108,0.48,4561,24.17,4502,23.86,13346,70.72,7160,37.94,2649,14.04,62,0,48.07,8642,4.52,813,8.22,1478,15.67,2816,28.86,5189,65.6,11794,5.8,1043,7.61,1368,21.45,3857,9003,8824,98.01,37.81,62.19,179,1.99,838,3777,550.56,8180,14.43,42.33,13.97,28.4,0.66,0.04,Bajo,4659.5,4644.5,142873.01,186915.64,1015.47,36626.29,125.96,3259.93,165.5,6456.17,6.52,185.21,51.34,1123.09,32.37,1244.54,6027.55,38266.88,74.73,2546.24,37,4969,223,13,537,31,14,1939,94,4,1050,47,3,191,11,0,0,0,8.66,2do año de Secundaria,5.58,462723,3801,1181.82,1,5,0,0,4,4,898,1703,179928,8,0,0,1,0,3,3,0,0,1,2,8,0,0,6,0,2,4,0,5000,5000,0,0,60,21,0,0,NA,NA,NA,NA,105361.2,33304.68,6797.54,1073.23,NA,NA,NA,NA,NA,NA,149.6,628.32,NA,NA,NA,NA,64.4,470.12,NA,NA,NA,NA,NA,NA,16.8,376.49,165.97,1572.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8690,51575.15,NA,NA,20269.95,89386.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755.95,6425.58,NA,NA,25.6,87.04,576,2016,NA,NA,NA,NA
Alfajayucan,19,18,1,140,9,0,15,0,0,2,3,13,0,2,8,88,51,51,0,0,0,0,0,0,0,10327,8,16,4624,5510,3.47,3.16,9.58,1.67,0,18.13,112,30,15,31,36,12.74,11.72,21.58,80.34,7.53,85.84,433.5,44.2,0,100,19162,0.01,9964,0.52,9198,0.48,5016,26.18,3909,20.4,13138,68.56,7157,37.35,3079,16.07,3887,0.21,48.56,10688,7.78,1713,0.76,166,16.44,3619,32.3,7108,84.06,18502,5.64,1242,33.66,7409,45.08,9922,9859,9727,98.66,42.64,57.36,132,1.34,394,1162,178.99,7145,36.6,22.39,14.37,26.03,17.37,1.04,Alto,9669.6,9569.6,491137.78,337962.63,1197.57,43336.7,94.9,2458.65,223.84,9028.28,13.27,405.84,81.38,2281.02,15.57,596.6,7152.19,45041.38,7.35,250.97,84,5185,307,30,622,42,34,2046,131,13,1203,63,6,1012,56,0,0,0,8.15,2do año de Secundaria,8.38,1894531,4264,1679.43,2,4,0,0,13,7,1237,2473,213696,2,0,0,0,0,0,18,0,2,2,7,2,0,0,112,30,15,31,36,5000,1500,1500,2000,45,14,0,0,NA,NA,NA,NA,453917.52,149189.07,8834.25,1441.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.68,58741.92,NA,NA,NA,NA,NA,NA,NA,NA,25.58,263.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5330,30121.96,NA,NA,21722,95883.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.4,2230.91,NA,NA,19.65,61.21,8.7,28.71,NA,NA,NA,NA
Almoloya,31,23,8,56,3,1,8,0,0,0,0,3,0,1,13,27,161,161,0,0,0,0,0,0,0,6644,3,14,2853,3546,3.52,1.58,3.1,1.18,1,24.59,104,0,17,71,16,16.84,19.99,52.76,81.84,16.33,91.88,272.3,46.07,44.78,55.22,12546,0,6476,0.52,6070,0.48,3366,26.83,3075,24.51,8508,67.81,4527,36.08,1578,12.58,19,0,50.24,6154,3.84,471,6.6,809,13.92,1706,15.82,1939,72.5,8881,7.14,874,5.2,637,24.46,2996,5597,5378,96.09,35.7,64.3,219,3.91,389,751,83.93,4754,19.54,32.96,18.97,27.32,0.23,0.01,Bajo,12125.85,12084.85,32109.76,141597.44,456.59,18565.94,67.02,2099.49,259.89,12332.32,22.93,860.7,753.64,19040.99,6.39,285.43,6418.64,48011.41,20.9,664.21,38,2871,141,13,382,22,15,1354,67,6,653,28,2,372,16,0,0,0,8.51,2do año de Secundaria,6.58,416966,2688,821.04,3,1,1,0,2,2,438,610,48456,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,0,17,71,16,15685,12548,1568.5,1568.5,13,0,2,0,NA,NA,NA,NA,398.9,149.79,NA,NA,1157.73,4899.75,NA,NA,NA,NA,NA,NA,27934.8,119881.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.06,87.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651.2,3822.46,NA,NA,1236.95,7006.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.2,1555.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.21,3961.17,18.23,109.38,6,28.5,17.48,95.27,NA,NA,NA,NA
Apan,75,69,6,822,3,0,145,2,0,8,6,32,2,17,106,501,806,806,0,0,1,1,0,53,5,36023,11,110,11018,12915,3.6,1.29,1.07,0.57,0,19.12,117,4,58,22,33,29.89,42.24,59.52,87.86,28,94.95,322.2,144.88,73.78,26.22,46681,0.02,24393,0.52,22288,0.48,11525,24.69,11376,24.37,32633,69.91,17532,37.56,6246,13.38,98,0,41.36,18573,3.63,1628,8.69,3904,12.79,5745,23.88,10725,61.93,27808,5.11,2293,5.87,2636,21.4,9610,22470,21796,97,41.93,58.07,674,3,2153,6289,1657.06,19013,8.78,30,21.43,37.8,30.72,1.84,Bajo,22284.9,22255.9,56951.5,241368.9,319.66,12973.8,263.24,8246.53,332.17,15724.51,35.11,1315.48,942.95,23522.27,7.14,319.21,5046.65,37698.49,18.66,597,98,15912,770,35,1335,84,32,4757,211,17,2249,164,8,1659,83,2,3423,163,9.42,3er año de Secundaria,5.01,1156954,8667,7210.79,4,5,1,0,0,4,2806,4504,631476,11,3,0,0,0,0,0,0,0,0,0,11,3,0,117,4,58,22,33,30000,21000,3000,6000,97,41,0,0,NA,NA,NA,NA,402.1,151.67,1104.46,463.87,135.85,550.19,NA,NA,NA,NA,NA,NA,54098.61,231869.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.5,990.3,NA,NA,328.14,1730.68,NA,NA,NA,NA,NA,NA,NA,NA,108.78,488.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,4730.06,4.2,17.43,7.31,33.48,68.55,342.75,NA,NA,NA,NA
Atitalaquia,54,47,7,111,5,0,5,0,0,0,0,30,0,2,20,49,456,0,0,0,0,0,0,0,0,17360,8,30,5648,8689,3.61,0.52,0.87,0.45,6,12.86,45,13,14,0,18,39.51,44.4,51.8,88.65,29.29,94.14,62.5,504.4,92.32,7.68,31525,0.01,16044,0.51,15481,0.49,7463,23.67,7563,23.99,22407,71.08,12694,40.27,3805,12.07,145,0,28.96,8414,1.36,395,6.95,2020,9.86,2864,21.3,6187,48.26,14020,2.36,686,2.74,796,12.3,3574,14660,14169,96.65,39.66,60.34,491,3.35,1374,14518,183472.05,12441,5.02,40.27,15.79,36.16,4.13,0.25,Muy bajo,1958.5,1953.5,133667.31,55957.41,1000.46,32489,185.05,4814.66,205.75,8116.22,7.55,196.45,44.51,964.48,48.5,1828.72,24638.32,154010.81,66.72,2261.92,45,10313,435,15,880,47,14,2911,122,6,1498,88,5,1896,80,1,817,38,9.94,3er año de Secundaria,2.7,477898,5197,3093.42,3,7,0,0,2,6,1113,2397,369844,3,1,0,0,0,0,0,0,0,0,0,3,1,6,45,13,14,0,18,14540,13086,727,727,36,24,0,0,NA,NA,NA,NA,118937.4,37436.74,1655.6,264.47,NA,NA,NA,NA,NA,NA,171.9,618.84,NA,NA,NA,NA,47.85,334.95,NA,NA,NA,NA,NA,NA,NA,NA,168.79,1576.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10087.8,4337.75,2581.17,11331.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,57.12,NA,NA,NA,NA,NA,NA
Atlapexco,32,30,2,96,0,0,18,0,0,3,2,0,4,4,14,51,88,88,0,0,0,0,0,0,0,21504,13,57,4266,5298,3.73,7.34,2.57,1.06,0,25.84,104,0,48,40,16,13.08,14.06,42.83,59.36,13.06,73.48,142.6,138.93,14.94,85.06,19812,0.01,10301,0.52,9511,0.48,5235,26.42,4271,21.56,13367,67.47,6743,34.03,3554,17.94,13335,0.7,65.16,15013,18.67,4301,0.41,95,22.06,5084,15.79,3637,83.12,19152,15.16,3494,84.6,19494,58.35,13444,7697,7574,98.4,29.79,70.21,123,1.6,383,859,144.01,6213,42.97,16.11,13.15,27.14,1.32,0.08,Muy bajo,4385.23,4385.23,5870.62,27453.3,565.04,17607.16,151.27,4542.68,5.83,256.95,0,0,31.24,728.26,13.52,664.39,277.72,1732.21,26.06,766.1,90,6664,361,36,827,61,34,2080,147,13,1276,62,3,1392,49,0,0,0,7.77,1er año de Secundaria,18.81,1980765,5757,3087.12,1,1,1,0,13,4,381,648,37808,1,0,0,0,0,0,1,0,0,0,0,1,0,0,104,0,48,40,16,4500,4500,0,0,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.7,2472.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.48,726.16,NA,NA,NA,NA,NA,NA,NA,NA,20.6,58.09,NA,NA,NA,NA,4747.19,23644.93,NA,NA,NA,NA,NA,NA,663.65,551.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
